erp_sale_id,erp_vehicle_id,sale_date,sale_price,original_cost,sale_channel,buyer_type,days_on_market,profit_margin,dealer_discount,sales_person,finance_option,erp_last_updated
ERP_SAL000072,ERP_VH000072,2023-05-31,197150,165362,Online Auction,Fleet Buyer,19,0.192,0.07,Andrew Bush,Bank Finance,2025-03-16 07:22
ERP_SAL000073,ERP_VH000073,2024-11-08,152195,178989,Online Auction,Private,64,-0.15,0.03,Henry Hernandez,Bank Finance,2025-02-05 09:49
ERP_SAL000074,ERP_VH000074,2023-11-07,774878,761407,Retail Showroom,Private,69,0.018,0.01,Rhonda Mitchell,In-House Finance,2025-04-09 15:46
ERP_SAL000075,ERP_VH000075,2024-06-07,254452,244458,Retail Showroom,Fleet Buyer,10,0.041,0.01,Dr. Robert Sloan V,Bank Finance,2025-05-13 11:29
ERP_SAL000076,ERP_VH000076,2023-06-02,376898,429686,Retail Showroom,Private,44,-0.123,0.08,Crystal Briggs,Bank Finance,2025-06-06 00:40
ERP_SAL000077,ERP_VH000077,2023-08-25,653558,585162,Retail Showroom,Private,43,0.117,0.09,Paul Boyd,Bank Finance,2025-01-29 02:12
ERP_SAL000078,ERP_VH000078,2023-09-27,189187,183978,Online Auction,Fleet Buyer,37,0.028,0.06,Amy Brown,Cash,2024-08-20 11:37
ERP_SAL000079,ERP_VH000079,2025-03-02,625705,634408,Online Auction,Private,70,-0.014,0.09,Gabriela Williams,Bank Finance,2025-05-29 23:06
ERP_SAL000080,ERP_VH000080,2022-09-02,645767,701276,Dealer Network,Fleet Buyer,85,-0.079,0.01,Jeff George PhD,In-House Finance,2025-06-08 01:46
ERP_SAL000081,ERP_VH000081,2024-05-03,299529,301891,Retail Showroom,Fleet Buyer,34,-0.008,0.06,Brett Mitchell,Cash,2025-04-29 23:54
ERP_SAL000082,ERP_VH000082,2023-04-04,616196,522436,Online Auction,Private,30,0.179,0.06,Shannon Smith,Bank Finance,2024-09-05 21:46
ERP_SAL000083,ERP_VH000083,2023-09-10,444773,508519,Dealer Network,Private,81,-0.125,0.05,Melanie Luna,Cash,2025-04-16 09:27
ERP_SAL000084,ERP_VH000084,2025-06-21,464484,504014,Dealer Network,Dealer,57,-0.078,0.03,Jeremy Lopez,Bank Finance,2025-06-09 14:58
ERP_SAL000085,ERP_VH000085,2025-06-23,174848,194047,Online Auction,Fleet Buyer,84,-0.099,0.03,Jimmy Barnes,Bank Finance,2024-12-14 08:55
ERP_SAL000086,ERP_VH000086,2024-12-14,219339,261757,Online Auction,Fleet Buyer,90,-0.162,0.08,Stephanie Patterson,Bank Finance,2024-10-23 18:09
ERP_SAL000087,ERP_VH000087,2022-09-27,414378,408633,Online Auction,Dealer,44,0.014,0.07,Joseph Ford,Cash,2025-05-15 04:11
ERP_SAL000088,ERP_VH000088,2023-03-30,634778,557125,Retail Showroom,Dealer,20,0.139,0.0,Sarah Davis,Cash,2024-09-04 13:28
ERP_SAL000089,ERP_VH000089,2022-07-30,247551,288486,Online Auction,Private,14,-0.142,0.09,Claire Cooper,Bank Finance,2024-12-04 14:33
ERP_SAL000090,ERP_VH000090,2025-05-19,199236,213246,Retail Showroom,Fleet Buyer,54,-0.066,0.04,Alice Potter,In-House Finance,2025-02-25 01:37
ERP_SAL000091,ERP_VH000091,2022-07-22,581883,687041,Online Auction,Fleet Buyer,36,-0.153,0.07,Seth Ochoa,Bank Finance,2025-06-07 22:34
ERP_SAL000092,ERP_VH000092,2023-04-28,453365,425878,Online Auction,Fleet Buyer,79,0.065,0.07,Megan Smith,Bank Finance,2025-06-15 05:52
ERP_SAL000093,ERP_VH000093,2023-11-04,295140,251411,Online Auction,Fleet Buyer,73,0.174,0.07,Marc Mcintosh,In-House Finance,2024-12-22 09:26
ERP_SAL000094,ERP_VH000094,2023-04-03,908503,794184,Online Auction,Fleet Buyer,50,0.144,0.04,David Silva,Bank Finance,2025-05-05 02:03
ERP_SAL000095,ERP_VH000095,2023-04-01,188435,192074,Dealer Network,Fleet Buyer,67,-0.019,0.05,Kelli Adams DVM,Bank Finance,2024-08-11 14:37
ERP_SAL000096,ERP_VH000096,2024-09-30,498101,546103,Online Auction,Dealer,80,-0.088,0.04,Michael Carter,Bank Finance,2024-10-02 22:11
ERP_SAL000097,ERP_VH000097,2023-02-22,730662,670386,Dealer Network,Fleet Buyer,58,0.09,0.04,Cindy Spears,Cash,2025-02-11 00:19
ERP_SAL000098,ERP_VH000098,2024-10-20,228020,206245,Dealer Network,Private,80,0.106,0.09,Mary Hughes,In-House Finance,2024-07-09 17:14
ERP_SAL000099,ERP_VH000099,2023-01-27,429746,463929,Retail Showroom,Fleet Buyer,69,-0.074,0.04,Katelyn Frye,In-House Finance,2025-04-10 10:55
ERP_SAL000100,ERP_VH000100,2025-01-20,361816,356410,Dealer Network,Private,55,0.015,0.04,Susan Salinas,In-House Finance,2025-06-14 23:26
ERP_SAL000101,ERP_VH000101,2024-06-04,307748,275175,Online Auction,Private,82,0.118,0.01,Barbara Randall,Bank Finance,2024-07-13 05:30
ERP_SAL000102,ERP_VH000102,2025-03-02,525173,544365,Dealer Network,Private,74,-0.035,0.04,Victoria Christensen,Bank Finance,2025-05-27 16:19
ERP_SAL000103,ERP_VH000103,2024-03-14,401956,431318,Online Auction,Dealer,83,-0.068,0.09,Cynthia Anderson,Bank Finance,2025-03-26 00:12
ERP_SAL000104,ERP_VH000104,2022-07-13,362212,338348,Online Auction,Private,68,0.071,0.03,Daniel Gomez,In-House Finance,2024-10-08 23:12
ERP_SAL000105,ERP_VH000105,2022-10-10,883561,740288,Dealer Network,Private,58,0.194,0.1,Lee Elliott,Cash,2025-05-05 16:15
ERP_SAL000106,ERP_VH000106,2022-12-06,333230,376917,Online Auction,Private,78,-0.116,0.03,Deanna Morris,Cash,2025-02-25 04:40
ERP_SAL000107,ERP_VH000107,2024-08-07,483779,427331,Dealer Network,Fleet Buyer,40,0.132,0.07,Erica Clark,Bank Finance,2024-08-20 13:05
ERP_SAL000108,ERP_VH000108,2025-04-13,723069,714227,Online Auction,Private,65,0.012,0.06,Michael Garcia,Bank Finance,2025-01-19 08:46
ERP_SAL000109,ERP_VH000109,2022-10-27,712474,687157,Retail Showroom,Fleet Buyer,81,0.037,0.04,Jessica Hernandez,Bank Finance,2025-04-27 20:11
ERP_SAL000110,ERP_VH000110,2023-10-24,429505,371739,Dealer Network,Fleet Buyer,24,0.155,0.04,Courtney Anderson,In-House Finance,2024-09-01 22:04
ERP_SAL000111,ERP_VH000111,2023-10-28,230400,261727,Retail Showroom,Private,35,-0.12,0.01,Robert Nguyen,In-House Finance,2025-04-19 13:10
ERP_SAL000112,ERP_VH000112,2023-01-27,559622,685488,Online Auction,Private,35,-0.184,0.03,Ricardo Hawkins,Bank Finance,2025-01-16 13:10
ERP_SAL000113,ERP_VH000113,2023-02-28,183541,228072,Dealer Network,Private,65,-0.195,0.05,Aaron Freeman,Bank Finance,2024-11-30 08:55
ERP_SAL000114,ERP_VH000114,2024-05-29,380517,339894,Retail Showroom,Fleet Buyer,55,0.12,0.01,Austin Mason,Cash,2024-08-25 18:06
ERP_SAL000115,ERP_VH000115,2023-02-25,332383,353467,Online Auction,Fleet Buyer,40,-0.06,0.03,Theresa Kemp,Bank Finance,2025-04-18 20:16
ERP_SAL000116,ERP_VH000116,2025-06-17,548637,466582,Dealer Network,Fleet Buyer,38,0.176,0.02,Mary Rodgers,Bank Finance,2025-04-18 19:00
ERP_SAL000117,ERP_VH000117,2022-07-20,285994,273506,Dealer Network,Private,33,0.046,0.01,Allison Bowen,In-House Finance,2024-08-24 15:34
ERP_SAL000118,ERP_VH000118,2023-07-01,371398,352846,Retail Showroom,Fleet Buyer,66,0.053,0.06,Mary Travis,Cash,2024-12-21 16:39
ERP_SAL000119,ERP_VH000119,2025-03-02,543928,462094,Dealer Network,Private,68,0.177,0.07,Jillian Oliver,Bank Finance,2024-08-09 23:49
ERP_SAL000120,ERP_VH000120,2024-02-13,335417,282880,Retail Showroom,Fleet Buyer,52,0.186,0.03,Angela Ross,Bank Finance,2024-11-22 22:20
ERP_SAL000121,ERP_VH000121,2024-02-07,152575,176448,Dealer Network,Private,86,-0.135,0.01,Wendy Davis,Cash,2024-07-18 05:16
ERP_SAL000122,ERP_VH000122,2022-07-22,801188,782362,Online Auction,Private,47,0.024,0.01,Colleen Velasquez,Bank Finance,2024-10-14 05:02
ERP_SAL000123,ERP_VH000123,2025-04-04,266859,235018,Online Auction,Fleet Buyer,39,0.135,0.05,Alex Bowers,Bank Finance,2024-09-18 19:25
ERP_SAL000124,ERP_VH000124,2025-03-12,187703,163693,Online Auction,Dealer,50,0.147,0.09,Christine Best,In-House Finance,2024-12-12 11:50
ERP_SAL000125,ERP_VH000125,2023-03-15,603881,667306,Dealer Network,Fleet Buyer,51,-0.095,0.01,Mackenzie Hall,Bank Finance,2024-07-23 23:08
ERP_SAL000126,ERP_VH000126,2024-11-14,568191,531582,Dealer Network,Fleet Buyer,69,0.069,0.06,Caroline Harmon MD,Bank Finance,2025-04-29 04:42
ERP_SAL000127,ERP_VH000127,2024-04-14,858945,743635,Online Auction,Private,89,0.155,0.02,Christine Solis,Cash,2025-05-20 10:54
ERP_SAL000128,ERP_VH000128,2023-09-04,639266,587735,Online Auction,Dealer,76,0.088,0.02,Pamela Graham,Cash,2025-01-21 02:37
ERP_SAL000129,ERP_VH000129,2024-07-22,456662,566308,Online Auction,Dealer,63,-0.194,0.09,Michael Salazar,In-House Finance,2025-05-26 18:18
ERP_SAL000130,ERP_VH000130,2022-08-17,486413,540182,Online Auction,Fleet Buyer,17,-0.1,0.02,Kyle Webb,In-House Finance,2025-01-24 17:55
ERP_SAL000131,ERP_VH000131,2023-05-02,403096,400846,Retail Showroom,Fleet Buyer,18,0.006,0.07,Danielle Wolf,In-House Finance,2024-08-22 07:55
ERP_SAL000132,ERP_VH000132,2025-01-03,780760,680640,Dealer Network,Fleet Buyer,22,0.147,0.04,Stephanie Gill,Bank Finance,2024-07-13 11:23
ERP_SAL000133,ERP_VH000133,2024-07-21,608686,533980,Dealer Network,Fleet Buyer,8,0.14,0.09,Brittany Kelly,Bank Finance,2024-12-24 13:31
ERP_SAL000134,ERP_VH000134,2022-12-05,204304,172791,Retail Showroom,Fleet Buyer,62,0.182,0.1,Sara Moore,Cash,2024-09-12 23:29
ERP_SAL000135,ERP_VH000135,2024-01-14,815380,734837,Dealer Network,Fleet Buyer,65,0.11,0.03,Mark Johnson,Cash,2024-08-24 15:32
ERP_SAL000136,ERP_VH000136,2024-10-26,537309,456085,Dealer Network,Dealer,88,0.178,0.08,Natasha Warren,Cash,2024-10-09 14:48
ERP_SAL000137,ERP_VH000137,2025-06-17,199602,235484,Dealer Network,Private,47,-0.152,0.1,Michael Baxter,In-House Finance,2025-02-04 13:24
ERP_SAL000138,ERP_VH000138,2023-12-28,433299,391983,Retail Showroom,Private,35,0.105,0.05,Brent Lewis,Bank Finance,2024-12-30 12:23
ERP_SAL000139,ERP_VH000139,2023-11-27,645742,796327,Online Auction,Fleet Buyer,52,-0.189,0.08,Betty Scott,Bank Finance,2025-01-20 08:14
ERP_SAL000140,ERP_VH000140,2024-12-01,681180,726134,Dealer Network,Private,49,-0.062,0.04,Joshua Thomas,Cash,2025-01-14 06:32
ERP_SAL000141,ERP_VH000141,2023-07-07,210208,229807,Retail Showroom,Fleet Buyer,7,-0.085,0.06,Lauren Vasquez DVM,Cash,2025-02-11 04:13
ERP_SAL000142,ERP_VH000142,2024-05-28,772227,773789,Dealer Network,Private,29,-0.002,0.06,Michele Contreras,Cash,2024-12-08 03:53
ERP_SAL000143,ERP_VH000143,2023-01-22,527097,597168,Dealer Network,Fleet Buyer,84,-0.117,0.03,Valerie Hernandez,Cash,2025-05-03 07:34
ERP_SAL000144,ERP_VH000144,2023-05-01,486530,421835,Dealer Network,Private,27,0.153,0.1,Thomas Snow,Bank Finance,2025-01-31 15:03
ERP_SAL000145,ERP_VH000145,2022-09-27,159138,195393,Dealer Network,Fleet Buyer,31,-0.186,0.06,Dr. Sean Scott,Bank Finance,2025-05-03 06:54
ERP_SAL000146,ERP_VH000146,2023-07-01,643795,562988,Online Auction,Private,45,0.144,0.03,Connie Thompson,In-House Finance,2024-07-21 05:10
ERP_SAL000147,ERP_VH000147,2023-02-01,194871,183952,Dealer Network,Private,60,0.059,0.03,Megan Mitchell,Bank Finance,2025-02-21 05:34
ERP_SAL000148,ERP_VH000148,2024-02-03,616210,714697,Retail Showroom,Private,49,-0.138,0.08,Sara Cunningham,Cash,2024-09-01 06:52
ERP_SAL000149,ERP_VH000149,2022-12-20,344735,308976,Retail Showroom,Private,73,0.116,0.05,Gina Smith,In-House Finance,2024-09-16 07:21
ERP_SAL000150,ERP_VH000150,2022-12-26,766795,762069,Online Auction,Private,25,0.006,0.05,Courtney Richards,Cash,2025-04-30 16:07
ERP_SAL000151,ERP_VH000151,2024-11-17,517838,552090,Retail Showroom,Private,38,-0.062,0.06,Abigail Brown,Bank Finance,2024-08-21 14:07
ERP_SAL000152,ERP_VH000152,2022-10-13,480468,510264,Dealer Network,Private,38,-0.058,0.03,Ryan Hayes,Bank Finance,2025-05-14 00:29
ERP_SAL000153,ERP_VH000153,2022-09-29,465351,506654,Dealer Network,Private,8,-0.082,0.05,Michael Molina,Bank Finance,2025-02-27 13:24
ERP_SAL000154,ERP_VH000154,2023-09-15,718072,665138,Dealer Network,Private,88,0.08,0.08,Lee Carter,Cash,2025-03-31 02:32
ERP_SAL000155,ERP_VH000155,2023-02-10,515278,527133,Dealer Network,Private,18,-0.022,0.1,Victor Turner,In-House Finance,2025-02-24 09:36
ERP_SAL000156,ERP_VH000156,2024-05-26,555885,528422,Online Auction,Private,14,0.052,0.02,Deborah Wyatt,Cash,2025-05-16 15:14
ERP_SAL000157,ERP_VH000157,2025-04-04,718281,689797,Online Auction,Private,41,0.041,0.06,Jessica Miller,Bank Finance,2024-09-23 19:38
ERP_SAL000158,ERP_VH000158,2023-06-22,169983,160804,Dealer Network,Private,65,0.057,0.04,Laurie Lewis,Cash,2024-07-24 22:59
ERP_SAL000159,ERP_VH000159,2024-12-03,580306,702523,Online Auction,Fleet Buyer,83,-0.174,0.05,Joshua Jackson,Bank Finance,2025-02-06 04:31
ERP_SAL000160,ERP_VH000160,2023-03-09,172152,198796,Retail Showroom,Dealer,30,-0.134,0.04,Gerald Manning,Bank Finance,2025-03-17 00:26
ERP_SAL000161,ERP_VH000161,2023-10-23,832186,693777,Online Auction,Private,18,0.2,0.01,Ryan Gibbs,Bank Finance,2025-03-30 02:03
ERP_SAL000162,ERP_VH000162,2024-11-03,266906,270637,Dealer Network,Private,33,-0.014,0.02,Jodi Stark,Cash,2024-08-19 15:12
ERP_SAL000163,ERP_VH000163,2022-10-09,486943,581191,Online Auction,Private,18,-0.162,0.02,Donald Rios,Bank Finance,2024-10-26 21:22
ERP_SAL000164,ERP_VH000164,2023-10-26,729476,640019,Online Auction,Private,9,0.14,0.04,Thomas Taylor,In-House Finance,2024-09-28 23:06
ERP_SAL000165,ERP_VH000165,2023-05-25,269069,293716,Online Auction,Private,9,-0.084,0.09,Carolyn Morgan,Bank Finance,2025-05-09 11:39
ERP_SAL000166,ERP_VH000166,2022-07-29,532650,481071,Dealer Network,Dealer,89,0.107,0.04,Brian Cook,Bank Finance,2025-01-21 17:05
ERP_SAL000167,ERP_VH000167,2024-05-31,817681,724552,Online Auction,Dealer,32,0.129,0.07,Anne Walker,Bank Finance,2024-07-27 13:36
ERP_SAL000168,ERP_VH000168,2022-08-10,615400,587874,Dealer Network,Private,30,0.047,0.1,Bradley Spencer,Cash,2025-04-01 00:53
ERP_SAL000169,ERP_VH000169,2023-04-14,684155,713292,Online Auction,Fleet Buyer,64,-0.041,0.07,Charles Hayes,Bank Finance,2025-02-28 02:18
ERP_SAL000170,ERP_VH000170,2022-12-19,851870,762424,Online Auction,Fleet Buyer,17,0.117,0.02,Cameron Peterson,In-House Finance,2024-08-03 09:22
ERP_SAL000171,ERP_VH000171,2022-07-17,366877,333341,Dealer Network,Private,36,0.101,0.09,Tiffany Wu,In-House Finance,2024-10-24 04:59
ERP_SAL000172,ERP_VH000172,2023-04-15,611223,608825,Retail Showroom,Private,29,0.004,0.09,Spencer Lewis,Cash,2025-06-25 23:43
